id,number,month,initial_amount,price,currency,client_code,authorized_withdrawal_person,document_url,is_archived,validated_at,granted_at,validated_by,granted_by,created_at,updated_at,created_by,updated_by
016c6d0e-0aa2-4d27-b5fd-28739b588cf4,CRT08-084A3-4642/2026,09/2026,20000.00,2000.00,1,CL08-084A3-5162/2026,,,false,,2026-08-31 17:10:09+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-31 17:10:09+00,2026-09-01 14:21:03.123701+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
0245e9b8-257e-434c-9d18-c974f6e765a1,CRT07-084A3-2226/2026,07/2026,20000.00,2000.00,1,CL06-084A3-5405/2026,,,true,,2026-07-09 17:44:05+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-07-09 17:44:05+00,2026-08-21 08:35:33.575029+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
02816ba8-dd27-471d-9544-511164eb6300,CRT05-053DB-1904/2026,05/2026,5000.00,2000.00,1,CL03-09815-7458/2026,,,true,,2026-05-12 17:50:57+00,,604e6df1-79e8-4118-a788-bb248eb653db,2026-05-12 17:50:57+00,2026-07-12 18:54:24.84108+00,604e6df1-79e8-4118-a788-bb248eb653db,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
02fded73-10cd-4e10-a051-61e2bae9cd06,CL02-09815-1257/2026,02/2026,50000.00,1000.00,1,CL02-09815-1257/2026,,,true,,2026-02-27 19:45:15+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-02-27 19:45:15+00,2026-08-21 14:21:35.063318+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
03cda0b9-0d69-47f2-909c-8a19bdd5a15e,CRT05-09815-8046/2026,05/2026,4000.00,2000.00,1,CL04-09815-8842/2026,,,true,,2026-05-05 15:42:55+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-05 15:42:55+00,2026-07-20 19:40:14.838855+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0485c5c0-63e9-4e02-831c-28b9a9569cd5,CRT05-09815-5708/2026,05/2026,5000.00,2000.00,1,CL05-09815-2944/2026,,,true,,2026-05-04 17:35:51+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-04 17:35:51+00,2026-07-20 20:03:38.980203+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
04cf8f3b-5420-43ce-88a0-56cb4fdc06e8,CRT08-084A3-6071/2026,08/2026,5000.00,2000.00,1,CL06-084A3-7820/2026,,,false,,2026-08-14 08:13:55+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-14 08:13:55+00,2026-09-01 14:20:51.657961+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
05d91cd1-2076-4c77-b2e7-7cc24b115a41,CRT08-09815-4867/2026,08/2026,5000.00,2000.00,1,CL06-09815-6146/2026,,,false,,2026-08-11 14:44:07+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-08-11 14:44:07+00,2026-09-01 08:23:51.379431+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,
067696d1-0e06-488e-ab2b-8c346d880d25,CRT06-084A3-8585/2026,06/2026,5000.00,2000.00,1,CL06-084A3-4003/2026,,,true,,2026-06-23 16:33:15+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-06-23 16:33:15+00,2026-08-21 08:35:38.227055+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
069b6f80-c1f4-4f90-883c-3d4c83e40322,CRT08-084A3-8770/2026,08/2026,10000.00,2000.00,1,CL08-084A3-4804/2026,,,false,,2026-08-01 15:45:36+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-01 15:45:36+00,2026-09-01 14:20:45.898832+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
